result
     ENTRY_TS     | GROUPID | PLANS_STARTED | PLANS_FINISHED | PLANS_WAITING_LONG | PLANS_WAITING_SHORT | PLANS_RUNNING_LONG | PLANS_RUNNING_SHORT | TARGET_JOB_MAX | TARGET_RSG_PCT | TARGET_RSG_MAX | ACTUAL_RSG_PCT | ACTUAL_RSG_PCT_SAMPLE | ACTUAL_JOB_MAX | ALLOWED_RSG_PCT | ALLOWED_RSG_PCT_SAMPLE | EXPECTED_RSG_PCT | EXPECTED_RSG_PCT_SAMPLE | RSG_HORIZON_US | COMPLIANCE | SAMPLE_SECS | BUSY_SECS | HOST_CPU_SECS | HOST_DISK_READ_SECS | HOST_DISK_WRITE_SECS | HOST_FABRIC_SECS | SPU_CPU_SECS | SPU_DISK_READ_SECS | SPU_DISK_WRITE_SECS | SPU_FABRIC_SECS | SPU_DATA_DISK_READ_SECS | SPU_DATA_DISK_WRITE_SECS | SPU_TEMP_DISK_READ_SECS | SPU_TEMP_DISK_WRITE_SECS 
 1584518776997000 | 6808625 |           659 |            639 |              0.143 |               0.029 |             15.128 |               4.615 |              0 |             10 |            100 |             52 |                   100 |             20 |              52 |                    100 |               40 |                     100 |      312000000 |          4 |          60 |        60 |          0.19 |                   0 |                    0 |                0 |         45.4 |              31.43 |                1.62 |            1.69 |                   31.43 |                     1.62 |                       0 |                        0
 1584518836996193 | 6808625 |           745 |            727 |                2.1 |                0.16 |             13.498 |                 3.3 |              0 |             10 |            100 |             56 |                   100 |             20 |              56 |                    100 |               44 |                      83 |      336000000 |          4 |          60 |        60 |          0.27 |                   0 |                    0 |                0 |        48.04 |              37.95 |                1.81 |            0.86 |                   37.95 |                     1.81 |                       0 |                        0
 1584518896996577 | 6808625 |           769 |            753 |                  0 |                   0 |              8.483 |               9.976 |              0 |             10 |            100 |             60 |                   100 |             19 |              60 |                    100 |               47 |                      50 |      360000000 |          4 |          60 |        60 |          0.22 |                   0 |                    0 |                0 |         55.2 |              20.71 |                5.16 |            3.68 |                   20.71 |                     5.16 |                       0 |                        0
 1584518956996485 | 6808625 |           834 |            818 |                0.4 |                   0 |             15.159 |               1.175 |              0 |             10 |            100 |             63 |                   100 |             17 |              64 |                    100 |               50 |                     100 |      382000000 |          4 |          60 |        60 |          0.26 |                   0 |                    0 |                0 |        43.89 |              45.77 |                1.82 |            2.14 |                   45.77 |                     1.82 |                       0 |                        0
 1584519016996653 | 6808625 |           869 |            849 |                  0 |                   0 |             14.152 |               2.438 |              0 |             10 |            100 |             67 |                   100 |             20 |              67 |                    100 |               52 |                      72 |      406000000 |          4 |          60 |        60 |          0.21 |                   0 |                    0 |                0 |        42.68 |              21.48 |                7.45 |            1.07 |                   21.48 |                     7.45 |                       0 |                        0
 1584519076996250 | 6808625 |           889 |            877 |                  0 |                   0 |             12.659 |               1.543 |              0 |             10 |            100 |             71 |                   100 |             20 |              71 |                    100 |               54 |                      36 |      430000000 |          4 |          60 |        60 |          0.28 |                   0 |                    0 |                0 |        41.95 |              13.96 |                4.84 |            2.34 |                   13.96 |                     4.84 |                       0 |                        0
 1584519136995839 | 6808625 |           915 |            908 |                  0 |                   0 |              8.447 |               0.075 |              0 |             10 |            100 |             75 |                   100 |             12 |              75 |                    100 |               57 |                      41 |      454000000 |          4 |          60 |        60 |          0.12 |                   0 |                    0 |                0 |        28.22 |              24.52 |                1.93 |            0.66 |                   24.52 |                     1.93 |                       0 |                        0
 1584519196996570 | 6808625 |           949 |            929 |              2.327 |               0.013 |              4.137 |               7.149 |              0 |             10 |            100 |             79 |                   100 |             17 |              79 |                    100 |               59 |                      35 |      478000000 |          4 |          60 |        60 |          0.14 |                   0 |                    0 |                0 |        17.42 |              18.97 |                1.08 |            0.12 |                   18.97 |                     1.08 |                       0 |                        0
 1584519258244855 | 6808625 |          1026 |           1008 |              1.495 |                   0 |              7.948 |               8.498 |              0 |             10 |            100 |             83 |                   100 |             20 |              83 |                    100 |               62 |                      61 |      502000000 |          4 |       61.25 |     61.25 |          0.68 |                   0 |                    0 |                0 |        44.49 |              32.96 |                0.36 |            5.37 |                   32.96 |                     0.35 |                       0 |                     0.01
 1584519318244516 | 6808625 |          1026 |           1009 |                  0 |                   0 |             11.109 |                   6 |              0 |             10 |            100 |             87 |                   100 |             18 |              87 |                    100 |               64 |                      54 |      526000000 |          4 |          60 |        60 |          0.11 |                   0 |                    0 |                0 |        41.19 |               17.6 |               90.24 |            0.11 |                    3.13 |                        0 |                   14.47 |                    90.24
 1584519378244472 | 6808625 |          1027 |           1010 |                  0 |               0.105 |             10.954 |               5.895 |              0 |             10 |            100 |             91 |                   100 |             17 |              91 |                    100 |               66 |                      54 |      550000000 |          4 |          60 |        60 |          0.17 |                   0 |                    0 |                0 |        57.27 |               42.2 |               61.71 |            1.07 |                    2.98 |                        0 |                   39.22 |                    61.71
 1584519438245413 | 6808625 |          1061 |           1042 |              0.277 |               0.105 |             12.337 |               5.886 |              0 |             10 |            100 |             95 |                   100 |             20 |              95 |                    100 |               69 |                      71 |      574000000 |          4 |          60 |        60 |          0.23 |                   0 |                    0 |                0 |        48.94 |              27.16 |               10.71 |            0.78 |                    6.46 |                     0.06 |                   20.69 |                    10.64
 1584519498244697 | 6808625 |          1105 |           1085 |              0.173 |                   0 |             17.524 |                1.93 |              0 |             10 |            100 |             99 |                   100 |             20 |              99 |                    100 |               72 |                     100 |      598000000 |          4 |          60 |        60 |          0.19 |                   0 |                    0 |                0 |        46.97 |              32.86 |                 0.1 |            0.51 |                   27.73 |                        0 |                    5.13 |                      0.1
